clusterName,gene,NSForestMarker
Inh L1-3 VIP CBLN1,EGF,n
Inh L1-3 VIP CBLN1,DACH2,n
Inh L1-3 VIP CBLN1,SRGAP1,n
Inh L1-3 VIP CBLN1,GALNT10,n
Inh L1-3 VIP CBLN1,LINC01411,n
Inh L1-3 VIP CBLN1,LOC105373454,n
Inh L1-3 VIP CBLN1,COL19A1,n
Inh L1-3 VIP CBLN1,SOX2-OT,n
Inh L1-3 VIP CBLN1,TSHZ2,n
Inh L1-2 VIP EXPH5,HTR2C,n
Inh L1-2 VIP EXPH5,LOC284825,n
Inh L1-2 VIP EXPH5,TAC3,n
Inh L1-2 VIP EXPH5,SCTR,y
Inh L1-2 VIP EXPH5,ST18,y
Inh L1-2 VIP EXPH5,CCNG2,n
Inh L1-2 VIP EXPH5,IGFBP5,n
Inh L1-2 VIP EXPH5,KCNH8,n
Inh L1-2 VIP EXPH5,PARD3B,n
Inh L1-2 VIP EXPH5,SYT10,n
Inh L1-2 VIP EXPH5,ABI3BP,n
Inh L1-2 VIP EXPH5,LOC100506497,n
Inh L1-2 VIP EXPH5,LOC101927286,n
Inh L1-2 VIP EXPH5,LOC101928842,n
Inh L1-2 VIP EXPH5,EYA4,n
Inh L1-2 VIP EXPH5,LOC105373642,n
Inh L1-2 VIP EXPH5,PPP1R1C,n
Inh L1-2 VIP EXPH5,KCNT2,n
Inh L1-2 VIP EXPH5,LOC105370456,n
Inh L1-2 VIP EXPH5,ITGBL1,n
Inh L1-2 VIP EXPH5,SLITRK4,n
Inh L1-2 VIP EXPH5,EREG,n
Inh L1-2 VIP EXPH5,NOX4,n
Inh L1-2 VIP EXPH5,ANGPT1,n
Inh L1-2 VIP EXPH5,SMOC1,n
Inh L1-2 VIP EXPH5,VIP,n
Inh L1-2 VIP EXPH5,IQGAP2,n
Inh L1-2 VIP EXPH5,SLC22A3,n
Inh L1-2 VIP EXPH5,KCTD12,n
Inh L1-2 VIP EXPH5,ANKFN1,n
Inh L1-2 VIP EXPH5,EGFEM1P,n
Inh L1-2 VIP EXPH5,LOC101927078,n
Inh L1-2 VIP EXPH5,PDE3A,n
Inh L1-2 VIP EXPH5,ADAMTSL1,n
Inh L1-2 VIP EXPH5,THSD7B,n
Inh L1-2 VIP EXPH5,CXCL14,n
Inh L1-2 VIP EXPH5,PENK,n
Inh L1-2 VIP EXPH5,EGF,n
Inh L1-2 VIP EXPH5,DACH2,n
Inh L1-2 VIP EXPH5,SRGAP1,n
Inh L1-2 VIP EXPH5,GALNT10,n
Inh L1-2 VIP EXPH5,LINC01411,n
Inh L1-2 VIP EXPH5,LOC105373454,n
Inh L1-2 VIP EXPH5,COL19A1,n
Inh L1-2 VIP EXPH5,SOX2-OT,n
Inh L1-2 VIP EXPH5,TSHZ2,n
Inh L1-3 VIP HSPB6,HTR2C,n
Inh L1-3 VIP HSPB6,LOC284825,n
Inh L1-3 VIP HSPB6,TAC3,n
Inh L1-3 VIP HSPB6,SCTR,n
Inh L1-3 VIP HSPB6,ST18,n
Inh L1-3 VIP HSPB6,CCNG2,y
Inh L1-3 VIP HSPB6,IGFBP5,y
Inh L1-3 VIP HSPB6,KCNH8,n
Inh L1-3 VIP HSPB6,PARD3B,n
Inh L1-3 VIP HSPB6,SYT10,n
Inh L1-3 VIP HSPB6,ABI3BP,n
Inh L1-3 VIP HSPB6,LOC100506497,n
Inh L1-3 VIP HSPB6,LOC101927286,n
Inh L1-3 VIP HSPB6,LOC101928842,n
Inh L1-3 VIP HSPB6,EYA4,n
Inh L1-3 VIP HSPB6,LOC105373642,n
Inh L1-3 VIP HSPB6,PPP1R1C,n
Inh L1-3 VIP HSPB6,KCNT2,n
Inh L1-3 VIP HSPB6,LOC105370456,n
Inh L1-3 VIP HSPB6,ITGBL1,n
Inh L1-3 VIP HSPB6,SLITRK4,n
Inh L1-3 VIP HSPB6,EREG,n
Inh L1-3 VIP HSPB6,NOX4,n
Inh L1-3 VIP HSPB6,ANGPT1,n
Inh L1-3 VIP HSPB6,SMOC1,n
Inh L1-3 VIP HSPB6,VIP,n
Inh L1-3 VIP HSPB6,IQGAP2,n
Inh L1-3 VIP HSPB6,SLC22A3,n
Inh L1-3 VIP HSPB6,KCTD12,n
Inh L1-3 VIP HSPB6,ANKFN1,n
Inh L1-3 VIP HSPB6,EGFEM1P,n
Inh L1-3 VIP HSPB6,LOC101927078,n
Inh L1-3 VIP HSPB6,PDE3A,n
Inh L1-3 VIP HSPB6,ADAMTSL1,n
Inh L1-3 VIP HSPB6,THSD7B,n
Inh L1-3 VIP HSPB6,CXCL14,n
Inh L1-3 VIP HSPB6,PENK,n
Inh L1-3 VIP HSPB6,EGF,n
Inh L1-3 VIP HSPB6,DACH2,n
Inh L1-3 VIP HSPB6,SRGAP1,n
Inh L1-3 VIP HSPB6,GALNT10,n
Inh L1-3 VIP HSPB6,LINC01411,n
Inh L1-3 VIP HSPB6,LOC105373454,n
Inh L1-3 VIP HSPB6,COL19A1,n
Inh L1-3 VIP HSPB6,SOX2-OT,n
Inh L1-3 VIP HSPB6,TSHZ2,n
Inh L1-2 VIP PTGER3,HTR2C,n
Inh L1-2 VIP PTGER3,LOC284825,n
Inh L1-2 VIP PTGER3,TAC3,n
Inh L1-2 VIP PTGER3,SCTR,n
Inh L1-2 VIP PTGER3,ST18,n
Inh L1-2 VIP PTGER3,CCNG2,n
Inh L1-2 VIP PTGER3,IGFBP5,n
Inh L1-2 VIP PTGER3,KCNH8,y
Inh L1-2 VIP PTGER3,PARD3B,y
Inh L1-2 VIP PTGER3,SYT10,y
Inh L1-2 VIP PTGER3,ABI3BP,n
Inh L1-2 VIP PTGER3,LOC100506497,n
Inh L1-2 VIP PTGER3,LOC101927286,n
Inh L1-2 VIP PTGER3,LOC101928842,n
Inh L1-2 VIP PTGER3,EYA4,n
Inh L1-2 VIP PTGER3,LOC105373642,n
Inh L1-2 VIP PTGER3,PPP1R1C,n
Inh L1-2 VIP PTGER3,KCNT2,n
Inh L1-2 VIP PTGER3,LOC105370456,n
Inh L1-2 VIP PTGER3,ITGBL1,n
Inh L1-2 VIP PTGER3,SLITRK4,n
Inh L1-2 VIP PTGER3,EREG,n
Inh L1-2 VIP PTGER3,NOX4,n
Inh L1-2 VIP PTGER3,ANGPT1,n
Inh L1-2 VIP PTGER3,SMOC1,n
Inh L1-2 VIP PTGER3,VIP,n
Inh L1-2 VIP PTGER3,IQGAP2,n
Inh L1-2 VIP PTGER3,SLC22A3,n
Inh L1-2 VIP PTGER3,KCTD12,n
Inh L1-2 VIP PTGER3,ANKFN1,n
Inh L1-2 VIP PTGER3,EGFEM1P,n
Inh L1-2 VIP PTGER3,LOC101927078,n
Inh L1-2 VIP PTGER3,PDE3A,n
Inh L1-2 VIP PTGER3,ADAMTSL1,n
Inh L1-2 VIP PTGER3,THSD7B,n
Inh L1-2 VIP PTGER3,CXCL14,n
Inh L1-2 VIP PTGER3,PENK,n
Inh L1-2 VIP PTGER3,EGF,n
Inh L1-2 VIP PTGER3,DACH2,n
Inh L1-2 VIP PTGER3,SRGAP1,n
Inh L1-2 VIP PTGER3,GALNT10,n
Inh L1-2 VIP PTGER3,LINC01411,n
Inh L1-2 VIP PTGER3,LOC105373454,n
Inh L1-2 VIP PTGER3,COL19A1,n
Inh L1-2 VIP PTGER3,SOX2-OT,n
Inh L1-2 VIP PTGER3,TSHZ2,n
Inh L1-2 VIP SCML4,HTR2C,n
Inh L1-2 VIP SCML4,LOC284825,n
Inh L1-2 VIP SCML4,TAC3,n
Inh L1-2 VIP SCML4,SCTR,n
Inh L1-2 VIP SCML4,ST18,n
Inh L1-2 VIP SCML4,CCNG2,n
Inh L1-2 VIP SCML4,IGFBP5,n
Inh L1-2 VIP SCML4,KCNH8,y
Inh L1-2 VIP SCML4,PARD3B,n
Inh L1-2 VIP SCML4,SYT10,n
Inh L1-2 VIP SCML4,ABI3BP,y
Inh L1-2 VIP SCML4,LOC100506497,y
Inh L1-2 VIP SCML4,LOC101927286,n
Inh L1-2 VIP SCML4,LOC101928842,n
Inh L1-2 VIP SCML4,EYA4,n
Inh L1-2 VIP SCML4,LOC105373642,n
Inh L1-2 VIP SCML4,PPP1R1C,n
Inh L1-2 VIP SCML4,KCNT2,n
Inh L1-2 VIP SCML4,LOC105370456,n
Inh L1-2 VIP SCML4,ITGBL1,n
Inh L1-2 VIP SCML4,SLITRK4,n
Inh L1-2 VIP SCML4,EREG,n
Inh L1-2 VIP SCML4,NOX4,n
Inh L1-2 VIP SCML4,ANGPT1,n
Inh L1-2 VIP SCML4,SMOC1,n
Inh L1-2 VIP SCML4,VIP,n
Inh L1-2 VIP SCML4,IQGAP2,n
Inh L1-2 VIP SCML4,SLC22A3,n
Inh L1-2 VIP SCML4,KCTD12,n
Inh L1-2 VIP SCML4,ANKFN1,n
Inh L1-2 VIP SCML4,EGFEM1P,n
Inh L1-2 VIP SCML4,LOC101927078,n
Inh L1-2 VIP SCML4,PDE3A,n
Inh L1-2 VIP SCML4,ADAMTSL1,n
Inh L1-2 VIP SCML4,THSD7B,n
Inh L1-2 VIP SCML4,CXCL14,n
Inh L1-2 VIP SCML4,PENK,n
Inh L1-2 VIP SCML4,EGF,n
Inh L1-2 VIP SCML4,DACH2,n
Inh L1-2 VIP SCML4,SRGAP1,n
Inh L1-2 VIP SCML4,GALNT10,n
Inh L1-2 VIP SCML4,LINC01411,n
Inh L1-2 VIP SCML4,LOC105373454,n
Inh L1-2 VIP SCML4,COL19A1,n
Inh L1-2 VIP SCML4,SOX2-OT,n
Inh L1-2 VIP SCML4,TSHZ2,n
Inh L1-3 VIP FNDC1,HTR2C,n
Inh L1-3 VIP FNDC1,LOC284825,n
Inh L1-3 VIP FNDC1,TAC3,n
Inh L1-3 VIP FNDC1,SCTR,n
Inh L1-3 VIP FNDC1,ST18,n
Inh L1-3 VIP FNDC1,CCNG2,n
Inh L1-3 VIP FNDC1,IGFBP5,n
Inh L1-3 VIP FNDC1,KCNH8,y
Inh L1-3 VIP FNDC1,PARD3B,n
Inh L1-3 VIP FNDC1,SYT10,n
Inh L1-3 VIP FNDC1,ABI3BP,n
Inh L1-3 VIP FNDC1,LOC100506497,n
Inh L1-3 VIP FNDC1,LOC101927286,y
Inh L1-3 VIP FNDC1,LOC101928842,y
Inh L1-3 VIP FNDC1,EYA4,n
Inh L1-3 VIP FNDC1,LOC105373642,n
Inh L1-3 VIP FNDC1,PPP1R1C,n
Inh L1-3 VIP FNDC1,KCNT2,n
Inh L1-3 VIP FNDC1,LOC105370456,n
Inh L1-3 VIP FNDC1,ITGBL1,n
Inh L1-3 VIP FNDC1,SLITRK4,n
Inh L1-3 VIP FNDC1,EREG,n
Inh L1-3 VIP FNDC1,NOX4,n
Inh L1-3 VIP FNDC1,ANGPT1,n
Inh L1-3 VIP FNDC1,SMOC1,n
Inh L1-3 VIP FNDC1,VIP,n
Inh L1-3 VIP FNDC1,IQGAP2,n
Inh L1-3 VIP FNDC1,SLC22A3,n
Inh L1-3 VIP FNDC1,KCTD12,n
Inh L1-3 VIP FNDC1,ANKFN1,n
Inh L1-3 VIP FNDC1,EGFEM1P,n
Inh L1-3 VIP FNDC1,LOC101927078,n
Inh L1-3 VIP FNDC1,PDE3A,n
Inh L1-3 VIP FNDC1,ADAMTSL1,n
Inh L1-3 VIP FNDC1,THSD7B,n
Inh L1-3 VIP FNDC1,CXCL14,n
Inh L1-3 VIP FNDC1,PENK,n
Inh L1-3 VIP FNDC1,EGF,n
Inh L1-3 VIP FNDC1,DACH2,n
Inh L1-3 VIP FNDC1,SRGAP1,n
Inh L1-3 VIP FNDC1,GALNT10,n
Inh L1-3 VIP FNDC1,LINC01411,n
Inh L1-3 VIP FNDC1,LOC105373454,n
Inh L1-3 VIP FNDC1,COL19A1,n
Inh L1-3 VIP FNDC1,SOX2-OT,n
Inh L1-3 VIP FNDC1,TSHZ2,n
Inh L1-3 VIP CHRNA2,HTR2C,n
Inh L1-3 VIP CHRNA2,LOC284825,n
Inh L1-3 VIP CHRNA2,TAC3,n
Inh L1-3 VIP CHRNA2,SCTR,n
Inh L1-3 VIP CHRNA2,ST18,n
Inh L1-3 VIP CHRNA2,CCNG2,n
Inh L1-3 VIP CHRNA2,IGFBP5,n
Inh L1-3 VIP CHRNA2,KCNH8,n
Inh L1-3 VIP CHRNA2,PARD3B,n
Inh L1-3 VIP CHRNA2,SYT10,n
Inh L1-3 VIP CHRNA2,ABI3BP,n
Inh L1-3 VIP CHRNA2,LOC100506497,n
Inh L1-3 VIP CHRNA2,LOC101927286,n
Inh L1-3 VIP CHRNA2,LOC101928842,n
Inh L1-3 VIP CHRNA2,EYA4,y
Inh L1-3 VIP CHRNA2,LOC105373642,y
Inh L1-3 VIP CHRNA2,PPP1R1C,y
Inh L1-3 VIP CHRNA2,KCNT2,n
Inh L1-3 VIP CHRNA2,LOC105370456,n
Inh L1-3 VIP CHRNA2,ITGBL1,n
Inh L1-3 VIP CHRNA2,SLITRK4,n
Inh L1-3 VIP CHRNA2,EREG,n
Inh L1-3 VIP CHRNA2,NOX4,n
Inh L1-3 VIP CHRNA2,ANGPT1,n
Inh L1-3 VIP CHRNA2,SMOC1,n
Inh L1-3 VIP CHRNA2,VIP,n
Inh L1-3 VIP CHRNA2,IQGAP2,n
Inh L1-3 VIP CHRNA2,SLC22A3,n
Inh L1-3 VIP CHRNA2,KCTD12,n
Inh L1-3 VIP CHRNA2,ANKFN1,n
Inh L1-3 VIP CHRNA2,EGFEM1P,n
Inh L1-3 VIP CHRNA2,LOC101927078,n
Inh L1-3 VIP CHRNA2,PDE3A,n
Inh L1-3 VIP CHRNA2,ADAMTSL1,n
Inh L1-3 VIP CHRNA2,THSD7B,n
Inh L1-3 VIP CHRNA2,CXCL14,n
Inh L1-3 VIP CHRNA2,PENK,n
Inh L1-3 VIP CHRNA2,EGF,n
Inh L1-3 VIP CHRNA2,DACH2,n
Inh L1-3 VIP CHRNA2,SRGAP1,n
Inh L1-3 VIP CHRNA2,GALNT10,n
Inh L1-3 VIP CHRNA2,LINC01411,n
Inh L1-3 VIP CHRNA2,LOC105373454,n
Inh L1-3 VIP CHRNA2,COL19A1,n
Inh L1-3 VIP CHRNA2,SOX2-OT,n
Inh L1-3 VIP CHRNA2,TSHZ2,n
Inh L2 VIP SLC6A16,HTR2C,n
Inh L2 VIP SLC6A16,LOC284825,n
Inh L2 VIP SLC6A16,TAC3,n
Inh L2 VIP SLC6A16,SCTR,n
Inh L2 VIP SLC6A16,ST18,n
Inh L2 VIP SLC6A16,CCNG2,n
Inh L2 VIP SLC6A16,IGFBP5,n
Inh L2 VIP SLC6A16,KCNH8,n
Inh L2 VIP SLC6A16,PARD3B,n
Inh L2 VIP SLC6A16,SYT10,n
Inh L2 VIP SLC6A16,ABI3BP,n
Inh L2 VIP SLC6A16,LOC100506497,n
Inh L2 VIP SLC6A16,LOC101927286,n
Inh L2 VIP SLC6A16,LOC101928842,n
Inh L2 VIP SLC6A16,EYA4,n
Inh L2 VIP SLC6A16,LOC105373642,n
Inh L2 VIP SLC6A16,PPP1R1C,n
Inh L2 VIP SLC6A16,KCNT2,y
Inh L2 VIP SLC6A16,LOC105370456,y
Inh L2 VIP SLC6A16,ITGBL1,n
Inh L2 VIP SLC6A16,SLITRK4,n
Inh L2 VIP SLC6A16,EREG,n
Inh L2 VIP SLC6A16,NOX4,n
Inh L2 VIP SLC6A16,ANGPT1,n
Inh L2 VIP SLC6A16,SMOC1,n
Inh L2 VIP SLC6A16,VIP,n
Inh L2 VIP SLC6A16,IQGAP2,n
Inh L2 VIP SLC6A16,SLC22A3,n
Inh L2 VIP SLC6A16,KCTD12,n
Inh L2 VIP SLC6A16,ANKFN1,n
Inh L2 VIP SLC6A16,EGFEM1P,n
Inh L2 VIP SLC6A16,LOC101927078,n
Inh L2 VIP SLC6A16,PDE3A,n
Inh L2 VIP SLC6A16,ADAMTSL1,n
Inh L2 VIP SLC6A16,THSD7B,n
Inh L2 VIP SLC6A16,CXCL14,n
Inh L2 VIP SLC6A16,PENK,n
Inh L2 VIP SLC6A16,EGF,n
Inh L2 VIP SLC6A16,DACH2,n
Inh L2 VIP SLC6A16,SRGAP1,n
Inh L2 VIP SLC6A16,GALNT10,n
Inh L2 VIP SLC6A16,LINC01411,n
Inh L2 VIP SLC6A16,LOC105373454,n
Inh L2 VIP SLC6A16,COL19A1,n
Inh L2 VIP SLC6A16,SOX2-OT,n
Inh L2 VIP SLC6A16,TSHZ2,n
Inh L1 VIP KLHDC8B,HTR2C,n
Inh L1 VIP KLHDC8B,LOC284825,n
Inh L1 VIP KLHDC8B,TAC3,n
Inh L1 VIP KLHDC8B,SCTR,n
Inh L1 VIP KLHDC8B,ST18,n
Inh L1 VIP KLHDC8B,CCNG2,n
Inh L1 VIP KLHDC8B,IGFBP5,n
Inh L1 VIP KLHDC8B,KCNH8,n
Inh L1 VIP KLHDC8B,PARD3B,n
Inh L1 VIP KLHDC8B,SYT10,n
Inh L1 VIP KLHDC8B,ABI3BP,n
Inh L1 VIP KLHDC8B,LOC100506497,n
Inh L1 VIP KLHDC8B,LOC101927286,n
Inh L1 VIP KLHDC8B,LOC101928842,n
Inh L1 VIP KLHDC8B,EYA4,n
Inh L1 VIP KLHDC8B,LOC105373642,n
Inh L1 VIP KLHDC8B,PPP1R1C,n
Inh L1 VIP KLHDC8B,KCNT2,n
Inh L1 VIP KLHDC8B,LOC105370456,n
Inh L1 VIP KLHDC8B,ITGBL1,y
Inh L1 VIP KLHDC8B,SLITRK4,y
Inh L1 VIP KLHDC8B,EREG,n
Inh L1 VIP KLHDC8B,NOX4,n
Inh L1 VIP KLHDC8B,ANGPT1,n
Inh L1 VIP KLHDC8B,SMOC1,n
Inh L1 VIP KLHDC8B,VIP,n
Inh L1 VIP KLHDC8B,IQGAP2,n
Inh L1 VIP KLHDC8B,SLC22A3,n
Inh L1 VIP KLHDC8B,KCTD12,n
Inh L1 VIP KLHDC8B,ANKFN1,n
Inh L1 VIP KLHDC8B,EGFEM1P,n
Inh L1 VIP KLHDC8B,LOC101927078,n
Inh L1 VIP KLHDC8B,PDE3A,n
Inh L1 VIP KLHDC8B,ADAMTSL1,n
Inh L1 VIP KLHDC8B,THSD7B,n
Inh L1 VIP KLHDC8B,CXCL14,n
Inh L1 VIP KLHDC8B,PENK,n
Inh L1 VIP KLHDC8B,EGF,n
Inh L1 VIP KLHDC8B,DACH2,n
Inh L1 VIP KLHDC8B,SRGAP1,n
Inh L1 VIP KLHDC8B,GALNT10,n
Inh L1 VIP KLHDC8B,LINC01411,n
Inh L1 VIP KLHDC8B,LOC105373454,n
Inh L1 VIP KLHDC8B,COL19A1,n
Inh L1 VIP KLHDC8B,SOX2-OT,n
Inh L1 VIP KLHDC8B,TSHZ2,n
Inh L3-5 VIP IGDCC3,HTR2C,n
Inh L3-5 VIP IGDCC3,LOC284825,n
Inh L3-5 VIP IGDCC3,TAC3,n
Inh L3-5 VIP IGDCC3,SCTR,n
Inh L3-5 VIP IGDCC3,ST18,n
Inh L3-5 VIP IGDCC3,CCNG2,n
Inh L3-5 VIP IGDCC3,IGFBP5,n
Inh L3-5 VIP IGDCC3,KCNH8,n
Inh L3-5 VIP IGDCC3,PARD3B,n
Inh L3-5 VIP IGDCC3,SYT10,n
Inh L3-5 VIP IGDCC3,ABI3BP,n
Inh L3-5 VIP IGDCC3,LOC100506497,n
Inh L3-5 VIP IGDCC3,LOC101927286,n
Inh L3-5 VIP IGDCC3,LOC101928842,n
Inh L3-5 VIP IGDCC3,EYA4,n
Inh L3-5 VIP IGDCC3,LOC105373642,n
Inh L3-5 VIP IGDCC3,PPP1R1C,n
Inh L3-5 VIP IGDCC3,KCNT2,n
Inh L3-5 VIP IGDCC3,LOC105370456,n
Inh L3-5 VIP IGDCC3,ITGBL1,n
Inh L3-5 VIP IGDCC3,SLITRK4,n
Inh L3-5 VIP IGDCC3,EREG,y
Inh L3-5 VIP IGDCC3,NOX4,y
Inh L3-5 VIP IGDCC3,ANGPT1,n
Inh L3-5 VIP IGDCC3,SMOC1,n
Inh L3-5 VIP IGDCC3,VIP,n
Inh L3-5 VIP IGDCC3,IQGAP2,n
Inh L3-5 VIP IGDCC3,SLC22A3,n
Inh L3-5 VIP IGDCC3,KCTD12,n
Inh L3-5 VIP IGDCC3,ANKFN1,n
Inh L3-5 VIP IGDCC3,EGFEM1P,n
Inh L3-5 VIP IGDCC3,LOC101927078,n
Inh L3-5 VIP IGDCC3,PDE3A,n
Inh L3-5 VIP IGDCC3,ADAMTSL1,n
Inh L3-5 VIP IGDCC3,THSD7B,n
Inh L3-5 VIP IGDCC3,CXCL14,n
Inh L3-5 VIP IGDCC3,PENK,n
Inh L3-5 VIP IGDCC3,EGF,n
Inh L3-5 VIP IGDCC3,DACH2,n
Inh L3-5 VIP IGDCC3,SRGAP1,n
Inh L3-5 VIP IGDCC3,GALNT10,n
Inh L3-5 VIP IGDCC3,LINC01411,n
Inh L3-5 VIP IGDCC3,LOC105373454,n
Inh L3-5 VIP IGDCC3,COL19A1,n
Inh L3-5 VIP IGDCC3,SOX2-OT,n
Inh L3-5 VIP IGDCC3,TSHZ2,n
Inh L1-5 VIP SMOC1,HTR2C,n
Inh L1-5 VIP SMOC1,LOC284825,n
Inh L1-5 VIP SMOC1,TAC3,n
Inh L1-5 VIP SMOC1,SCTR,n
Inh L1-5 VIP SMOC1,ST18,n
Inh L1-5 VIP SMOC1,CCNG2,n
Inh L1-5 VIP SMOC1,IGFBP5,n
Inh L1-5 VIP SMOC1,KCNH8,n
Inh L1-5 VIP SMOC1,PARD3B,n
Inh L1-5 VIP SMOC1,SYT10,n
Inh L1-5 VIP SMOC1,ABI3BP,n
Inh L1-5 VIP SMOC1,LOC100506497,n
Inh L1-5 VIP SMOC1,LOC101927286,n
Inh L1-5 VIP SMOC1,LOC101928842,n
Inh L1-5 VIP SMOC1,EYA4,n
Inh L1-5 VIP SMOC1,LOC105373642,n
Inh L1-5 VIP SMOC1,PPP1R1C,n
Inh L1-5 VIP SMOC1,KCNT2,n
Inh L1-5 VIP SMOC1,LOC105370456,n
Inh L1-5 VIP SMOC1,ITGBL1,n
Inh L1-5 VIP SMOC1,SLITRK4,n
Inh L1-5 VIP SMOC1,EREG,n
Inh L1-5 VIP SMOC1,NOX4,n
Inh L1-5 VIP SMOC1,ANGPT1,y
Inh L1-5 VIP SMOC1,SMOC1,y
Inh L1-5 VIP SMOC1,VIP,y
Inh L1-5 VIP SMOC1,IQGAP2,n
Inh L1-5 VIP SMOC1,SLC22A3,n
Inh L1-5 VIP SMOC1,KCTD12,n
Inh L1-5 VIP SMOC1,ANKFN1,n
Inh L1-5 VIP SMOC1,EGFEM1P,n
Inh L1-5 VIP SMOC1,LOC101927078,n
Inh L1-5 VIP SMOC1,PDE3A,n
Inh L1-5 VIP SMOC1,ADAMTSL1,n
Inh L1-5 VIP SMOC1,THSD7B,n
Inh L1-5 VIP SMOC1,CXCL14,n
Inh L1-5 VIP SMOC1,PENK,n
Inh L1-5 VIP SMOC1,EGF,n
Inh L1-5 VIP SMOC1,DACH2,n
Inh L1-5 VIP SMOC1,SRGAP1,n
Inh L1-5 VIP SMOC1,GALNT10,n
Inh L1-5 VIP SMOC1,LINC01411,n
Inh L1-5 VIP SMOC1,LOC105373454,n
Inh L1-5 VIP SMOC1,COL19A1,n
Inh L1-5 VIP SMOC1,SOX2-OT,n
Inh L1-5 VIP SMOC1,TSHZ2,n
Inh L3-5 VIP HS3ST3A1,HTR2C,n
Inh L3-5 VIP HS3ST3A1,LOC284825,n
Inh L3-5 VIP HS3ST3A1,TAC3,n
Inh L3-5 VIP HS3ST3A1,SCTR,n
Inh L3-5 VIP HS3ST3A1,ST18,n
Inh L3-5 VIP HS3ST3A1,CCNG2,n
Inh L3-5 VIP HS3ST3A1,IGFBP5,n
Inh L3-5 VIP HS3ST3A1,KCNH8,n
Inh L3-5 VIP HS3ST3A1,PARD3B,n
Inh L3-5 VIP HS3ST3A1,SYT10,n
Inh L3-5 VIP HS3ST3A1,ABI3BP,y
Inh L3-5 VIP HS3ST3A1,LOC100506497,n
Inh L3-5 VIP HS3ST3A1,LOC101927286,n
Inh L3-5 VIP HS3ST3A1,LOC101928842,n
Inh L3-5 VIP HS3ST3A1,EYA4,n
Inh L3-5 VIP HS3ST3A1,LOC105373642,n
Inh L3-5 VIP HS3ST3A1,PPP1R1C,n
Inh L3-5 VIP HS3ST3A1,KCNT2,n
Inh L3-5 VIP HS3ST3A1,LOC105370456,n
Inh L3-5 VIP HS3ST3A1,ITGBL1,n
Inh L3-5 VIP HS3ST3A1,SLITRK4,n
Inh L3-5 VIP HS3ST3A1,EREG,n
Inh L3-5 VIP HS3ST3A1,NOX4,n
Inh L3-5 VIP HS3ST3A1,ANGPT1,n
Inh L3-5 VIP HS3ST3A1,SMOC1,n
Inh L3-5 VIP HS3ST3A1,VIP,n
Inh L3-5 VIP HS3ST3A1,IQGAP2,y
Inh L3-5 VIP HS3ST3A1,SLC22A3,y
Inh L3-5 VIP HS3ST3A1,KCTD12,n
Inh L3-5 VIP HS3ST3A1,ANKFN1,n
Inh L3-5 VIP HS3ST3A1,EGFEM1P,n
Inh L3-5 VIP HS3ST3A1,LOC101927078,n
Inh L3-5 VIP HS3ST3A1,PDE3A,n
Inh L3-5 VIP HS3ST3A1,ADAMTSL1,n
Inh L3-5 VIP HS3ST3A1,THSD7B,n
Inh L3-5 VIP HS3ST3A1,CXCL14,n
Inh L3-5 VIP HS3ST3A1,PENK,n
Inh L3-5 VIP HS3ST3A1,EGF,n
Inh L3-5 VIP HS3ST3A1,DACH2,n
Inh L3-5 VIP HS3ST3A1,SRGAP1,n
Inh L3-5 VIP HS3ST3A1,GALNT10,n
Inh L3-5 VIP HS3ST3A1,LINC01411,n
Inh L3-5 VIP HS3ST3A1,LOC105373454,n
Inh L3-5 VIP HS3ST3A1,COL19A1,n
Inh L3-5 VIP HS3ST3A1,SOX2-OT,n
Inh L3-5 VIP HS3ST3A1,TSHZ2,n
Inh L5-6 VIP COL4A3,HTR2C,n
Inh L5-6 VIP COL4A3,LOC284825,n
Inh L5-6 VIP COL4A3,TAC3,n
Inh L5-6 VIP COL4A3,SCTR,n
Inh L5-6 VIP COL4A3,ST18,n
Inh L5-6 VIP COL4A3,CCNG2,n
Inh L5-6 VIP COL4A3,IGFBP5,n
Inh L5-6 VIP COL4A3,KCNH8,n
Inh L5-6 VIP COL4A3,PARD3B,y
Inh L5-6 VIP COL4A3,SYT10,n
Inh L5-6 VIP COL4A3,ABI3BP,y
Inh L5-6 VIP COL4A3,LOC100506497,n
Inh L5-6 VIP COL4A3,LOC101927286,n
Inh L5-6 VIP COL4A3,LOC101928842,n
Inh L5-6 VIP COL4A3,EYA4,n
Inh L5-6 VIP COL4A3,LOC105373642,n
Inh L5-6 VIP COL4A3,PPP1R1C,n
Inh L5-6 VIP COL4A3,KCNT2,n
Inh L5-6 VIP COL4A3,LOC105370456,n
Inh L5-6 VIP COL4A3,ITGBL1,n
Inh L5-6 VIP COL4A3,SLITRK4,n
Inh L5-6 VIP COL4A3,EREG,n
Inh L5-6 VIP COL4A3,NOX4,n
Inh L5-6 VIP COL4A3,ANGPT1,n
Inh L5-6 VIP COL4A3,SMOC1,n
Inh L5-6 VIP COL4A3,VIP,n
Inh L5-6 VIP COL4A3,IQGAP2,n
Inh L5-6 VIP COL4A3,SLC22A3,n
Inh L5-6 VIP COL4A3,KCTD12,y
Inh L5-6 VIP COL4A3,ANKFN1,n
Inh L5-6 VIP COL4A3,EGFEM1P,n
Inh L5-6 VIP COL4A3,LOC101927078,n
Inh L5-6 VIP COL4A3,PDE3A,n
